Time resolution is 1 ps
time	PC	inst		x3(result)	x1(backaddr)
------------------------------------------------------------
0	00000000	00500093	         0	00000000
5000	00000000	00500093	         0	00000005
25000	00000004	00700113	         0	00000005
35000	00000008	002081b3	         0	00000005
45000	0000000c	00312023	        12	00000005
55000	00000010	00012203	        12	00000005
65000	00000014	00418463	        12	00000005
75000	0000001c	00c000ef	        12	00000005
85000	00000028	00000013	        12	00000020
95000	0000002c	00000013	        12	00000020
105000	00000030	00000013	        12	00000020
115000	00000034	00000013	        12	00000020
125000	00000038	00000013	        12	00000020
135000	0000003c	00000013	        12	00000020
145000	00000040	00000013	        12	00000020
155000	00000044	00000013	        12	00000020
165000	00000048	00000013	        12	00000020
175000	0000004c	00000013	        12	00000020
185000	00000050	00000013	        12	00000020
195000	00000054	00000013	        12	00000020
205000	00000058	00000013	        12	00000020
215000	0000005c	00000013	        12	00000020
225000	00000060	00000013	        12	00000020
235000	00000064	00000013	        12	00000020
245000	00000068	00000013	        12	00000020
255000	0000006c	00000013	        12	00000020
265000	00000070	00000013	        12	00000020
275000	00000074	00000013	        12	00000020
285000	00000078	00000013	        12	00000020
295000	0000007c	00000013	        12	00000020
305000	00000080	00000013	        12	00000020
315000	00000084	00000013	        12	00000020
325000	00000088	00000013	        12	00000020
335000	0000008c	00000013	        12	00000020
345000	00000090	00000013	        12	00000020
355000	00000094	00000013	        12	00000020
365000	00000098	00000013	        12	00000020
375000	0000009c	00000013	        12	00000020
385000	000000a0	00000013	        12	00000020
395000	000000a4	00000013	        12	00000020
405000	000000a8	00000013	        12	00000020
415000	000000ac	00000013	        12	00000020
425000	000000b0	00000013	        12	00000020
435000	000000b4	00000013	        12	00000020
445000	000000b8	00000013	        12	00000020
455000	000000bc	00000013	        12	00000020
465000	000000c0	00000013	        12	00000020
475000	000000c4	00000013	        12	00000020
485000	000000c8	00000013	        12	00000020
495000	000000cc	00000013	        12	00000020
505000	000000d0	00000013	        12	00000020
515000	000000d4	00000013	        12	00000020
525000	000000d8	00000013	        12	00000020
535000	000000dc	00000013	        12	00000020
545000	000000e0	00000013	        12	00000020
555000	000000e4	00000013	        12	00000020
565000	000000e8	00000013	        12	00000020
575000	000000ec	00000013	        12	00000020
585000	000000f0	00000013	        12	00000020
595000	000000f4	00000013	        12	00000020
605000	000000f8	00000013	        12	00000020
615000	000000fc	00000013	        12	00000020
625000	00000100	00000013	        12	00000020
635000	00000104	00000013	        12	00000020
645000	00000108	00000013	        12	00000020
655000	0000010c	00000013	        12	00000020
665000	00000110	00000013	        12	00000020
675000	00000114	00000013	        12	00000020
685000	00000118	00000013	        12	00000020
695000	0000011c	00000013	        12	00000020
705000	00000120	00000013	        12	00000020
715000	00000124	00000013	        12	00000020
725000	00000128	00000013	        12	00000020
735000	0000012c	00000013	        12	00000020
745000	00000130	00000013	        12	00000020
755000	00000134	00000013	        12	00000020
765000	00000138	00000013	        12	00000020
775000	0000013c	00000013	        12	00000020
785000	00000140	00000013	        12	00000020
795000	00000144	00000013	        12	00000020
805000	00000148	00000013	        12	00000020
815000	0000014c	00000013	        12	00000020
825000	00000150	00000013	        12	00000020
835000	00000154	00000013	        12	00000020
845000	00000158	00000013	        12	00000020
855000	0000015c	00000013	        12	00000020
865000	00000160	00000013	        12	00000020
875000	00000164	00000013	        12	00000020
885000	00000168	00000013	        12	00000020
895000	0000016c	00000013	        12	00000020
905000	00000170	00000013	        12	00000020
915000	00000174	00000013	        12	00000020
925000	00000178	00000013	        12	00000020
935000	0000017c	00000013	        12	00000020
945000	00000180	00000013	        12	00000020
955000	00000184	00000013	        12	00000020
965000	00000188	00000013	        12	00000020
975000	0000018c	00000013	        12	00000020
985000	00000190	00000013	        12	00000020
995000	00000194	00000013	        12	00000020
